churchId,name,state,district,city,address,lat,lng,pastorId,status,createdAt,updatedAt
church-001,Harvest Church New Delhi 1,Delhi,New Delhi,New Delhi,"10, New Delhi Community Road",28.654116,77.119731,pastor-001,growing,2023-03-04,2026-11-17
church-002,Grace Church New Delhi 2,Delhi,New Delhi,New Delhi,"11, New Delhi Community Road",28.562529,77.295837,pastor-002,active,2012-01-17,2026-08-12
church-003,Cornerstone Church New Delhi 3,Delhi,New Delhi,New Delhi,"12, New Delhi Community Road",28.651245,77.206424,pastor-003,new,2015-03-14,2024-05-08
church-004,Living Waters Church New Delhi 4,Delhi,New Delhi,New Delhi,"13, New Delhi Community Road",28.685706,77.162338,pastor-004,new,2015-06-21,2026-10-18
church-005,Faith Church New Delhi 5,Delhi,New Delhi,New Delhi,"14, New Delhi Community Road",28.552598,77.297141,pastor-005,support_needed,2014-07-01,2025-04-05
church-006,Covenant Church New Delhi 6,Delhi,New Delhi,New Delhi,"15, New Delhi Community Road",28.557057,77.280001,pastor-006,new,2022-12-27,2026-06-23
church-007,Covenant Church New Delhi 7,Delhi,New Delhi,New Delhi,"16, New Delhi Community Road",28.59277,77.286452,pastor-007,growing,2013-08-13,2024-02-14
church-008,Cornerstone Church New Delhi 8,Delhi,New Delhi,New Delhi,"17, New Delhi Community Road",28.673888,77.167843,pastor-008,growing,2022-07-14,2025-12-22
church-009,Hope Church New Delhi 9,Delhi,New Delhi,New Delhi,"18, New Delhi Community Road",28.62814,77.225536,pastor-009,support_needed,2024-04-01,2026-12-13
church-010,Covenant Church New Delhi 10,Delhi,New Delhi,New Delhi,"19, New Delhi Community Road",28.65992,77.260547,pastor-010,support_needed,2013-01-13,2025-06-04
church-011,Redeemer Church New Delhi 11,Delhi,New Delhi,New Delhi,"20, New Delhi Community Road",28.548568,77.126499,pastor-011,growing,2013-04-08,2026-04-06
church-012,Covenant Church New Delhi 12,Delhi,New Delhi,New Delhi,"21, New Delhi Community Road",28.527605,77.249001,pastor-012,growing,2017-06-20,2025-04-24
church-013,Restoration Church New Delhi 13,Delhi,New Delhi,New Delhi,"22, New Delhi Community Road",28.678137,77.190156,pastor-013,growing,2019-11-12,2024-06-11
church-014,Restoration Church New Delhi 14,Delhi,New Delhi,New Delhi,"23, New Delhi Community Road",28.602839,77.203848,pastor-014,new,2017-09-18,2024-05-06
church-015,Living Waters Church New Delhi 15,Delhi,New Delhi,New Delhi,"24, New Delhi Community Road",28.556333,77.120406,pastor-015,support_needed,2015-06-04,2024-05-21
church-016,Redeemer Church Mumbai 1,Maharashtra,Mumbai,Mumbai,"10, Mumbai Community Road",19.079409,72.802661,pastor-016,active,2015-11-17,2024-02-19
church-017,Restoration Church Mumbai 2,Maharashtra,Mumbai,Mumbai,"11, Mumbai Community Road",19.000267,72.927152,pastor-017,growing,2013-02-09,2024-11-20
church-018,Living Waters Church Mumbai 3,Maharashtra,Mumbai,Mumbai,"12, Mumbai Community Road",19.099692,72.861891,pastor-018,active,2017-10-23,2025-03-08
church-019,Grace Church Mumbai 4,Maharashtra,Mumbai,Mumbai,"13, Mumbai Community Road",19.016467,72.830066,pastor-019,growing,2012-09-11,2025-09-02
church-020,Grace Church Mumbai 5,Maharashtra,Mumbai,Mumbai,"14, Mumbai Community Road",19.022305,72.915942,pastor-020,active,2019-07-11,2024-05-25
church-021,Covenant Church Mumbai 6,Maharashtra,Mumbai,Mumbai,"15, Mumbai Community Road",19.155758,72.906696,pastor-021,active,2021-06-08,2026-02-08
church-022,Redeemer Church Mumbai 7,Maharashtra,Mumbai,Mumbai,"16, Mumbai Community Road",19.107012,72.896096,pastor-022,new,2014-11-15,2025-07-25
church-023,New Life Church Mumbai 8,Maharashtra,Mumbai,Mumbai,"17, Mumbai Community Road",19.02741,72.95395,pastor-023,active,2020-11-01,2024-11-05
church-024,Covenant Church Mumbai 9,Maharashtra,Mumbai,Mumbai,"18, Mumbai Community Road",19.069971,72.801246,pastor-024,active,2022-01-28,2026-12-13
church-025,Hope Church Mumbai 10,Maharashtra,Mumbai,Mumbai,"19, Mumbai Community Road",19.131213,72.80208,pastor-025,support_needed,2015-07-15,2025-06-23
church-026,Faith Church Mumbai 11,Maharashtra,Mumbai,Mumbai,"20, Mumbai Community Road",19.056342,72.898835,pastor-026,active,2016-04-16,2026-08-11
church-027,Redeemer Church Mumbai 12,Maharashtra,Mumbai,Mumbai,"21, Mumbai Community Road",19.01501,72.861333,pastor-027,active,2024-07-13,2025-10-13
church-028,New Life Church Mumbai 13,Maharashtra,Mumbai,Mumbai,"22, Mumbai Community Road",19.028345,72.884209,pastor-028,support_needed,2017-08-11,2024-11-23
church-029,Redeemer Church Mumbai 14,Maharashtra,Mumbai,Mumbai,"23, Mumbai Community Road",19.077336,72.843362,pastor-029,growing,2014-02-17,2024-07-02
church-030,Cornerstone Church Mumbai 15,Maharashtra,Mumbai,Mumbai,"24, Mumbai Community Road",19.013546,72.937164,pastor-030,active,2018-01-23,2024-11-04
church-031,Covenant Church Bengaluru 1,Karnataka,Bengaluru Urban,Bengaluru,"10, Bengaluru Community Road",12.929482,77.53682,pastor-031,growing,2015-08-25,2024-07-24
church-032,Cornerstone Church Bengaluru 2,Karnataka,Bengaluru Urban,Bengaluru,"11, Bengaluru Community Road",12.915208,77.528865,pastor-032,support_needed,2017-04-01,2025-11-11
church-033,Covenant Church Bengaluru 3,Karnataka,Bengaluru Urban,Bengaluru,"12, Bengaluru Community Road",13.047675,77.512644,pastor-033,growing,2016-11-10,2025-08-05
church-034,Cornerstone Church Bengaluru 4,Karnataka,Bengaluru Urban,Bengaluru,"13, Bengaluru Community Road",12.928355,77.584875,pastor-034,new,2024-02-04,2026-11-09
church-035,Grace Church Bengaluru 5,Karnataka,Bengaluru Urban,Bengaluru,"14, Bengaluru Community Road",13.000773,77.52214,pastor-035,growing,2017-04-11,2025-12-16
church-036,Redeemer Church Bengaluru 6,Karnataka,Bengaluru Urban,Bengaluru,"15, Bengaluru Community Road",12.908165,77.619154,pastor-036,support_needed,2014-08-01,2026-03-26
church-037,Covenant Church Bengaluru 7,Karnataka,Bengaluru Urban,Bengaluru,"16, Bengaluru Community Road",12.883441,77.633388,pastor-037,active,2013-12-20,2024-08-11
church-038,Faith Church Bengaluru 8,Karnataka,Bengaluru Urban,Bengaluru,"17, Bengaluru Community Road",12.992299,77.577193,pastor-038,active,2020-07-14,2026-03-12
church-039,Harvest Church Bengaluru 9,Karnataka,Bengaluru Urban,Bengaluru,"18, Bengaluru Community Road",13.007122,77.616713,pastor-039,support_needed,2022-08-15,2025-04-22
church-040,Harvest Church Bengaluru 10,Karnataka,Bengaluru Urban,Bengaluru,"19, Bengaluru Community Road",12.94798,77.521247,pastor-040,growing,2021-08-28,2026-04-16
church-041,New Life Church Bengaluru 11,Karnataka,Bengaluru Urban,Bengaluru,"20, Bengaluru Community Road",13.023278,77.625652,pastor-041,growing,2012-06-12,2026-04-06
